Return,B006,S003,2025-01-03 14:12:22
Return,B004,S001,2025-01-03 14:19:13
Issue,B010,S001,2025-01-03 14:56:18
Issue,B010,S001,2025-01-03 14:56:20
Return,B010,S001,2025-01-03 14:56:22
Issue,B010,S001,2025-01-03 14:56:29
Issue,B010,S001,2025-01-03 14:56:37
Return,B005,S005,2025-01-03 15:10:59
Return,B002,S005,2025-01-03 15:16:14
Return,B010,S001,2025-01-03 15:16:33
Return,B010,S001,2025-01-03 15:36:01
Return,B010,S001,2025-01-03 15:36:37
Issue,B010,S001,2025-01-03 15:37:02
Return,B010,S001,2025-01-03 15:37:08
Issue,B001,S004,2025-01-03 15:39:19
Return,B001,S004,2025-01-03 15:39:41
Issue,B010,S001,2025-01-03 15:40:36
Return,B010,S001,2025-01-03 15:40:41
Return,B003,S003,2025-01-03 15:52:19
Issue,B003,S003,2025-01-03 15:52:44
Return,B006,S003,2025-01-03 17:46:31
Issue,B009,S001,2025-01-03 17:47:27
